name,Cases,Deaths,Update Time
Algeria,5,0,7/3/2009 9:00
Antigua and Barbuda,2,0,7/3/2009 9:00
Argentina,1587,26,7/3/2009 9:00
Australia,4568,9,7/3/2009 9:00
Austria,15,0,7/3/2009 9:00
Bahamas,6,0,7/3/2009 9:00
Bahrain,15,0,7/3/2009 9:00
Bangladesh,12,0,7/3/2009 9:00
Barbados,12,0,7/3/2009 9:00
Belgium,49,0,7/3/2009 9:00
Bermuda,1,0,7/3/2009 9:00
Bolivia,283,0,7/3/2009 9:00
Bosnia and Hezegovina,1,0,7/3/2009 9:00
Brazil,737,1,7/3/2009 9:00
British Virgin Islands,2,0,7/3/2009 9:00
Brunei Darussalam,85,0,7/3/2009 9:00
Bulgaria,10,0,7/3/2009 9:00
Cambodia,7,0,7/3/2009 9:00
Canada,7983,25,7/3/2009 9:00
Cap Verde,3,0,7/3/2009 9:00
Cayman Islands,14,0,7/3/2009 9:00
Chile,7376,14,7/3/2009 9:00
China,1814,0,7/3/2009 9:00
Colombia,101,2,7/3/2009 9:00
Costa Rica*,227,2,7/3/2009 9:00
Cote d'Ivoire,2,0,7/3/2009 9:00
Cuba,73,0,7/3/2009 9:00
Cyprus,70,0,7/3/2009 9:00
Czech Republic,15,0,7/3/2009 9:00
Denmark,63,0,7/3/2009 9:00
Dominica,1,0,7/3/2009 9:00
Dominican Republic,108,2,7/3/2009 9:00
Ecuador,163,0,7/3/2009 9:00
Egypt,67,0,7/3/2009 9:00
El Salvador,253,0,7/3/2009 9:00
Estonia,13,0,7/3/2009 9:00
Ethiopia,3,0,7/3/2009 9:00
Fiji,2,0,7/3/2009 9:00
Finland,43,0,7/3/2009 9:00
France,300,0,7/3/2009 9:00
French Polynesia,2,0,7/3/2009 9:00
Martinique,2,0,7/3/2009 9:00
France,6,0,7/3/2009 9:00
Germany,470,0,7/3/2009 9:00
Greece,109,0,7/3/2009 9:00
Guatemala ,254,2,7/3/2009 9:00
Honduras,123,1,7/3/2009 9:00
Hungary,11,0,7/3/2009 9:00
Iceland,4,0,7/3/2009 9:00
India,104,0,7/3/2009 9:00
Indonesia,8,0,7/3/2009 9:00
Iran,1,0,7/3/2009 9:00
Iraq,11,0,7/3/2009 9:00
Ireland,51,0,7/3/2009 9:00
Israel,577,0,7/3/2009 9:00
Italy,130,0,7/3/2009 9:00
Jamaica,32,0,7/3/2009 9:00
Japan,1446,0,7/3/2009 9:00
Jordan,22,0,7/3/2009 9:00
Kenya,12,0,7/3/2009 9:00
Korea,202,0,7/3/2009 9:00
Kuwait,35,0,7/3/2009 9:00
Laos,3,0,7/3/2009 9:00
Latvia,1,0,7/3/2009 9:00
Lebanon,47,0,7/3/2009 9:00
Lithuania,3,0,7/3/2009 9:00
Luxembourg,4,0,7/3/2009 9:00
Malaysia,112,0,7/3/2009 9:00
Malta,2,0,7/3/2009 9:00
Mauritius,1,0,7/3/2009 9:00
Mexico,10262,119,7/3/2009
Montenegro,9,0,7/3/2009 9:00
Morocco,17,0,7/3/2009 9:00
Myanmar,1,0,7/3/2009 9:00
Nepal,5,0,7/3/2009 9:00
Netherlands,134,0,7/3/2009 9:00
New Zealand,912,0,7/3/2009 9:00
Nicaragua,308,0,7/3/2009 9:00
Norway,41,0,7/3/2009 9:00
Oman,3,0,7/3/2009 9:00
Palau,1,0,7/3/2009 9:00
Panama,417,0,7/3/2009 9:00
Papua New Guinea,1,0,7/3/2009 9:00
Paraguay,103,0,7/3/2009 9:00
Peru,538,0,7/3/2009 9:00
Philippines,1709,1,7/3/2009 9:00
Poland,19,0,7/3/2009 9:00
Portugal,27,0,7/3/2009 9:00
Qatar,10,0,7/3/2009 9:00
Romania,36,0,7/3/2009 9:00
Russia,3,0,7/3/2009 9:00
Saint Lucia,1,0,7/3/2009 9:00
Samoa,1,0,7/3/2009 9:00
Saudi Arabia,89,0,7/3/2009 9:00
Serbia,15,0,7/3/2009 9:00
Singapore,878,0,7/3/2009 9:00
Slovakia,18,0,7/3/2009 9:00
Slovenia,5,0,7/3/2009 9:00
South Africa,12,0,7/3/2009 9:00
Spain,760,1,7/3/2009 9:00
Sri Lanka,17,0,7/3/2009 9:00
Suriname,11,0,7/3/2009 9:00
Sweden,74,0,7/3/2009 9:00
Switzerland,72,0,7/3/2009 9:00
Thailand,1414,3,7/3/2009 9:00
Trinidad and Tobago,53,0,7/3/2009 9:00
Tunisia,3,0,7/3/2009 9:00
Turkey,40,0,7/3/2009 9:00
Uganda,1,0,7/3/2009 9:00
Ukraine,1,0,7/3/2009 9:00
United Arab Emirates,8,0,7/3/2009 9:00
United Kingdom,7447,3,7/3/2009
Guernsey,5,0,7/3/2009 9:00
Isle of Man,1,0,7/3/2009 9:00
Jersey,11,0,7/3/2009 9:00
United States of America,33902,170,7/3/2009 9:00
Uruguay,195,1,7/3/2009 9:00
Vanuatu,2,0,7/3/2009 9:00
Venezuela,204,0,7/3/2009 9:00
Viet Nam,131,0,7/3/2009 9:00
West Bank and Gaza Strip,30,0,7/3/2009 9:00
Yemen,7,0,7/3/2009 9:00
