sick,healthy,immune,total_cases,population
4,196,0,4,200
4,196,0,4,200
5,195,0,5,200
5,195,0,5,200
7,193,0,7,200
8,192,0,8,200
10,190,0,10,200
15,185,0,15,200
16,184,0,16,200
20,180,0,20,200
25,175,0,25,200
31,169,0,31,200
40,160,0,40,200
49,151,0,49,200
53,147,0,53,200
60,136,4,64,200
72,124,4,76,200
83,112,5,88,200
95,100,5,100,200
98,95,7,105,200
106,86,8,114,200
116,74,10,126,200
125,60,15,140,200
134,50,16,150,200
134,46,20,154,200
140,35,25,165,200
140,29,31,171,200
139,21,40,179,200
134,17,49,183,200
133,14,53,186,200
123,13,64,187,200
113,11,76,189,200
103,9,88,191,200
91,9,100,191,200
87,8,105,192,200
78,8,114,192,200
68,6,126,194,200
54,6,140,194,200
44,6,150,194,200
40,6,154,194,200
30,5,165,195,200
24,5,171,195,200
16,5,179,195,200
13,4,183,196,200
10,4,186,196,200
9,4,187,196,200
7,4,189,196,200
5,4,191,196,200
5,4,191,196,200
4,4,192,196,200
4,4,192,196,200
2,4,194,196,200
2,4,194,196,200
2,4,194,196,200
2,4,194,196,200
1,4,195,196,200
1,4,195,196,200
1,4,195,196,200
0,4,196,196,200
